"","Plate","Week","Line","Mean.Firing.Rate.Hz","ISI.Coefficient.of.Variation.Avg","Network.ISI.Coefficient.of.Variation","Weighted.Mean.Firing.Rate.Hz","Burst.Duration.Avg.sec","Burst.Duration.Std.sec","Number.of.Spikes.per.Burst.Avg","Number.of.Spikes.per.Burst.Std","Mean.ISI.within.Burst.Avg.sec","Mean.ISI.within.Burst.Std.sec","Median.ISI.within.Burst.Avg.sec","Inter.Burst.Interval.Avg.sec","Inter.Burst.Interval.Std.sec","Burst.Frequency.Avg.Hz","Burst.Frequency.Std.Hz","Normalized.Duration.IQR.Avg","IBI.Coefficient.of.Variation.Avg","Burst.Percentage.Avg","Network.Burst.Frequency","Network.Burst.Duration.Avg.sec","Network.Burst.Duration.Std.sec","Number.of.Spikes.per.Network.Burst.Avg","Number.of.Spikes.per.Network.Burst.Std","Mean.ISI.within.Network.Burst.Avg.sec","Mean.ISI.within.Network.Burst.Std.sec","Median.ISI.within.Network.Burst.Avg.sec","ISI.CoV.within.Network.Burst.Avg","Network.Burst.Percentage","Network.IBI.Coefficient.of.Variation","Network.Normalized.Duration.IQR","Area.Under.Normalized.Cross.Correlation","Full.Width.at.Half.Height.of.Normalized.Cross.Correlation","Synchrony.Index","Kreuz.SPIKE.Distance","Burst.Peak.Max.Spikes.per.sec","Time.to.Burst.Peak.ms"
"1330",38,4,"CTRL",0.7875,2.322282,3.066626,1.929615,0.23209,0.134162,13.255081,15.456843,0.030007,0.015576,0.024872,22.463427,22.268268,0.075385,0.046553,0.740211,0.49396,39.676676,0.116667,1.058139,0.080884,351.771429,19.510308,0.003023,0.000257,0.000918,2.877107,81.428571,0.26941,0.121945,0.089093,54,0.232267,0.267027,1685.714286,402.5
"1331",38,5,"CTRL",2.08724,2.970002,2.598762,3.919314,0.293971,0.156996,28.008716,26.439193,0.023058,0.017552,0.01851,22.632114,41.82769,0.081667,0.042637,0.429102,0.51798,47.765922,0.103333,1.133479,0.051194,983.096774,53.025374,0.001156,5.8e-05,0.000328,3.399693,76.047411,0.487807,0.05219,0.1579,48,0.36209,0.348367,4419.354839,420.5
"1332",38,6,"CTRL",3.318646,2.13358,2.976934,6.83957,1.534487,5.624559,18.039792,21.509171,0.218781,0.72682,0.207932,15.295111,32.141243,0.235679,0.152186,0.527407,0.45267,40.364632,0.366667,0.783316,0.04209,515.463636,40.467152,0.001528,1e-04,0.000474,3.317429,88.987413,0.189959,0.05065,0.137761,42,0.276192,0.304511,3127.272727,316.5
"1333",38,6,"CTRL",4.738073,2.981505,3.462385,10.820952,0.232185,0.09806,34.391,33.350177,0.022239,0.028853,0.01987,5.00766,3.311293,0.224267,0.103161,0.458348,0.444156,44.745416,0.293333,0.832795,0.05916,935.954545,133.226875,0.000902,8.4e-05,0.000295,3.882578,90.538743,0.333491,0.10836,0.17514,33,0.299753,0.256163,4613.636364,318.5
"1334",38,7,"CTRL",4.994844,3.236207,5.037059,11.018736,0.204262,0.076862,29.942719,31.950999,0.018583,0.019356,0.015813,7.765145,15.395959,0.27321,0.134083,0.385653,0.378229,51.585756,0.35,0.76634,0.058016,870.304762,97.570795,0.000887,7.2e-05,3e-04,4.67937,95.287849,0.189189,0.091428,0.174322,33,0.360995,0.246299,4371.428571,312.5
"1335",38,5,"CTRL",1.142604,2.778971,2.555992,3.026528,0.266105,0.088272,18.020131,16.194919,0.027209,0.018884,0.021852,10.158103,6.714001,0.113485,0.05304,0.556647,0.460345,39.148672,0.12,1.03794,0.060527,454.583333,23.773184,0.002291,0.000133,0.000666,3.347174,74.59659,0.310222,0.038251,0.100979,56,0.241883,0.277596,2416.666667,418.5
"1336",38,2,"KO",0.011771,1.566523,1.480304,0.308333,3.39678,NA,12,NA,0.310971,NA,0.27782,20.055543,0,0.026667,NA,0.706118,0.919775,4.210526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000302,40,0.000519,0.049436,NA,NA
"1337",38,2,"KO",0.005104,1.282797,1.127995,0.14,1.68072,NA,4,NA,0.56024,NA,0.1244,NA,NA,0.003333,NA,NA,NA,1.754386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,0.002698,NA,NA
"1338",38,3,"KO",0.061146,1.68849,1.611096,0.626667,2.54259,3.385689,6.345494,2.669575,0.526962,0.764073,0.600389,24.789293,30.557936,0.054444,0.057645,0.573837,0.864477,28.066698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000326,46,0.008166,0.024568,NA,NA
"1339",38,3,"KO",0.148542,1.372852,1.823342,0.947333,0.994393,0.95655,5.823606,1.770087,0.240365,0.240187,0.207109,73.5,95.2856,0.129444,0.212115,0.818396,0.909242,12.831148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000881,97,0.009154,0.040844,NA,NA
"1340",38,4,"KO",0.336771,1.730969,1.688974,1.647692,1.631209,2.186162,7.166957,3.192235,0.232621,0.297532,0.203559,39.141413,57.13706,0.168182,0.217646,0.595644,0.771164,27.077376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002322,111,0.025965,0.053028,NA,NA
"1341",38,4,"KO",1.094583,1.754656,2.852032,3.16197,0.20982,0.077713,11.115175,12.290976,0.034583,0.019021,0.031648,21.161623,48.297104,0.161404,0.145904,0.523288,0.67697,20.561205,0.19,0.941444,0.108087,246.649123,18.106324,0.003842,0.000428,0.001594,2.099262,66.89665,0.413331,0.09789,0.031302,89,0.09268,0.341803,807.017544,490.5
